Driver,Team,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,SpeedFL,Stint,PitInTime,PitOutTime,TyreLife,Compound,Driver_Pos_x,AvgLapTime,BestSectorTime,TireStrategy,LapVariance,Pos,Driver_Pos_y,Q1,Q2,Q3,Laps
4,8,1.755933859,1,-0.200174158,0.13250899,0.205744915,285,1,,,2,0,11,6.534516457,18.774,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,0.008898798,2,0.285732178,-0.03309384,-0.06401395,302,1,,,3,0,11,2.626914959,18.419,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.2143743,3,-0.130923167,-0.124525262,-0.174854038,303,1,,,4,0,11,1.546101185,18.223,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.083761248,4,-0.042419824,-0.190299907,0.041356108,288,1,,,5,0,10,1.044314336,18.082,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.1603511,5,-0.07230407,-0.062948998,-0.151246539,303,1,,,6,0,10,0.725152377,18.355,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.177105131,6,0.021371546,-0.167908539,-0.161610807,303,1,,,7,0,10,0.516731043,18.13,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.245659888,7,-0.110234074,-0.192632342,-0.19587047,303,1,,,8,0,9,0.364628332,18.077,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.250104834,8,-0.280344394,-0.080675499,-0.18723358,301,1,,,9,0,7,0.25404949,18.317,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.151632166,9,-0.02000664,-0.150182039,-0.108925778,300,1,,,10,0,4,0.173035514,18.168,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.277629313,10,-0.304481669,-0.059217104,-0.234736475,288,1,,,11,0,4,0.098425665,18.363,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.221041721,11,-0.113682256,-0.070879275,-0.227826963,288,1,,,12,0,4,0.044626952,18.338,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.227025303,12,-0.218851812,-0.069946301,-0.185794099,286,1,,,13,0,4,-0.002481465,18.34,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.178643766,13,-0.061384826,-0.077410091,-0.17859669,288,1,,,14,0,4,-0.040516916,18.324,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.132826622,14,0.061600338,-0.098868486,-0.149807057,286,1,,,15,0,2,-0.073198689,18.278,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.187020781,15,-0.106785891,-0.041490603,-0.192127818,285,1,,,16,0,2,-0.104433389,18.401,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.169753873,16,-0.052189674,-0.018632748,-0.20450736,285,1,,,17,0,2,-0.129814092,18.45,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,4.16748847,17,0.537449476,-0.01536734,6.802025709,,1,0 days 01:22:24.439000,,18,0,5,-0.041280756,18.457,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,1.109706975,18,4.206315298,-0.124525262,-0.117850564,287,2,,0 days 01:22:42.580000,2,1,5,-0.141924054,18.223,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.222922275,19,-0.12057862,-0.062948998,-0.232433305,288,2,,,3,1,5,-0.192337948,18.355,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.239505346,20,-0.209081962,-0.095603078,-0.19587047,287,2,,,4,1,5,-0.208986101,18.285,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.261217201,21,-0.204484386,-0.099334972,-0.232433305,287,2,,,5,1,5,-0.224155327,18.277,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.299854047,22,-0.20563378,-0.094203617,-0.300088943,287,2,,,6,1,5,-0.238281358,18.288,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.306179548,23,-0.268850453,-0.13665392,-0.252873945,287,2,,,7,1,5,-0.250565791,18.197,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.33250731,24,-0.228621661,-0.148782578,-0.309877419,288,2,,,8,1,5,-0.262190333,18.171,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.260533364,25,-0.209656659,-0.126391209,-0.211992665,287,2,,,9,1,5,-0.271168466,18.219,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.212664705,26,-0.111383468,-0.063881972,-0.219190073,288,2,,,10,1,5,-0.279860686,18.353,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.166676602,27,-0.174025444,-0.083940906,-0.097985717,302,2,,,11,1,6,-0.287939443,18.31,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.337294176,28,-0.199312113,-0.244412382,-0.273602481,302,2,,,12,1,6,-0.298818067,17.966,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.384991875,29,-0.295861213,-0.219222092,-0.321105376,302,2,,,13,1,6,-0.307096179,18.02,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.351654773,30,-0.234368631,-0.281264842,-0.257480286,301,2,,,14,1,6,-0.313643293,17.887,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.320882065,31,-0.171726655,-0.248610763,-0.25719239,302,2,,,15,1,6,-0.319804122,17.957,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.297631574,32,-0.119429226,-0.280798356,-0.224372207,301,2,,,16,1,6,-0.325682514,17.888,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.270619974,33,-0.121153317,-0.214090737,-0.219190073,301,2,,,17,1,6,-0.331154887,18.031,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.22463187,34,-0.175174838,-0.208959381,-0.117850564,301,2,,,18,1,6,-0.336061718,18.042,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,0.256106225,35,1.135134384,-0.087672801,-0.039542761,300,2,,,19,1,5,-0.335265894,18.302,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.259507607,36,-0.295286516,-0.11006417,-0.177445105,287,2,,,20,1,5,-0.346595741,18.254,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.234205602,37,-0.180347111,-0.127324183,-0.18176355,288,2,,,21,1,5,-0.350931454,18.217,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.284809612,38,-0.214828932,-0.12032688,-0.25402553,288,2,,,22,1,5,-0.355910942,18.232,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.249591956,39,-0.211955447,-0.141318789,-0.183203032,287,2,,,23,1,5,-0.359674474,18.187,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
